CANTOR;CÓD.;TÍTULO;INÍCIO DA LETRA;P;;
19;18483;ANO KAMI HIKOHKI KUMORIZORA WATTE;Genki desu ka kimi wa ima mo;JP7D;;
365;6549;SÃO PAULO;Tem dias que eu digo não….;6D;;
10 cc;4920;I'M NOT IN LOVE;I'm not in love so don't forget it...;INT01, USA2A;;
14 Bis;7392;NATURAL;Penso em você no seu jeito de falar;10D;;
14 Bis;7693;ROMANCE;Flores simples;11D;;
14 Bis;9556;UMA VELHA CANÇÃO ROCK'N'ROLL;Olhe oh oh oh venha solte seu corpo n;13D;;
14 Bis;3755;LINDA JUVENTUDE;Zabelê, zumbi, besouro vespa fabricando;2D;;
14 Bis;6074;PLANETA SONHO;Aqui ninguém mais ficará depois do sol...;4H;;
14 Bis;6197;TODO AZUL DO MAR;Foi assim como ver o mar…;5C;;
14 Bis;1039;BOLA DE MEIA BOLA DE GUDE;Há um menino há um moleque Moran;INF1B;;
3 Doors Down;9033;HERE WITHOUT YOU;A hundred days had made me older;INT01, A42;;
4 Non Blondes;9072;WHAT'S UP;Twenty-five years and my life is still;INT01, A43;;
4 Non Blondes;2578;SPACEMAN;Starry night bring me down;INT04B;;
5 a Seco - Maria Gadú;15225;EM PAZ;Caiu do céu se revelou anjo da noite e das manhãs;24B;;
A Banda Mais Bonita da Cidade;2748;ORAÇÃO;Meu amor essa é a última oração;21D;;
A Banda Mais Bonita da Cidade;15450;CANÇÃO PRA NÃO VOLTAR;Não volte pra casa meu amor que aqui;25D;;
A Cor Do Som;7480;ZANZIBAR;No azul de Jezebel no céu de Calcutá;10B;;
A Cor do Som;15200;VIVA;Viva a alegria e viva o prazer;24A;;
A Cor Do Som;6402;ABRI A PORTA;Abri a porta apareci…;6A;;
A Cor Do Som;7175;MENINO DEUS;Menino Deus um corpo azul-dourado;9A;;
A Teens;4970;SUPER TROUPER;Super trouper beams are gonna blind me...;INT01, USA2A;;
A Teens;4938;MAMMA MIA;I've being cheated by you since I don't...;INT01,USA2C;;
A Turma Do Balão Mágico;1543;BRUXINHA;Ô bruxinha bonitinha da vassoura de;18B;;
A Turma do Mônica;7548;SER CRIANÇA É BOM;Ser criança é bom ser criança faz bem...;INF1A;;
A VIGÍLIA;5614;JEOVÁ É O TEU CAVALEIRO;Jeová é o teu cavaleiro que...;EVA;;
A VIGÍLIA ;5617;JESUS TE ENTRONIZAMOS;Jesus nesta noite...;EVA;;
A VIGÍLIA ;5636;RENOVA-ME;Renova-me Senhor Jesus já não quero...;EVA;;
A VIGÍLIA 2;5608;ESTAMOS AQUI;Estamos aqui na casa de Deus...;EVA;;
A Zorra;9574;A COR DA ESPERANÇA;Sei;14D;;
A.I.;2017;STORY;Kagirareta toki no naka de;JP4A;;
Abba;4877;CHIQUITITA;Chiquitita tell me what's wrong...;INT01,USA2C;;
Abba;9116;I HAVE A DREAM;I have a dream a song to sing…;INT02, 8E;;
Abba;2533;MAMMA MIA;I've been cheated by you since I don't;INT04A;;
Abba;19333;FERNANDO;Can you hear the drums Fernando;INT07A;;
Abba;4574;DANCING QUEEN;Yeah! You can dance you can jive;USAA;;
Abba;4787;THE WINNER TAKES IT ALL;I don’t wanna talk...;USAE;;
Abe Shizue;18424;MIZU IRO NO TEGAMI;Ogenki desu ka soshite ima demo aishite;JP7B;;
Abelhudos;1804;AS CRIANÇAS E OS ANIMAIS;Ê ô ê ô;20A;;
Abilio Farias;15130;O GENRO ODIADO;Desculpa mulher resolvi mil desculpas pedir;23D;;
Abílio Farias;1790;VOU FECHAR O CABARÉ;Esperei tanto ;19D;;
Abílio Farias;15049;CORAÇÃO INDECISO;Um coração indeciso busquei no céu um ;23B;;
Absyntho;6355;SÓ A LUA;Lembro que ela disse meio triste...;5G;;
AC-DC;5870;BACK IN BLACK;Back in black I hit the sack;INT03, USA3C;;
AC-DC;2606;HIGHWAY TO HELL;Livin' easy lovin' free;INT04C;;
AC-DC;19696;FOR THOSE ABOUT TO ROCK (WE SALUTE YOU);We roll tonight to the guitar bite;INT09B;;
Ace of Base;4857;ALL THAT SHE WANTS;She leads a lonely life...;INT01, USA2B;;
Ace of Base;19568;DON'T TURN AROUND;Don't tell me that you wanna leave;INT08C;;
Ace of Base;19687;BEAUTIFUL LIFE;You can do what you want just seize the day;INT09B;;
Ace of Base ;9221;HAPPY NATION ; Laudate omnes gentes laudate ;INT02, A44;;
Adair Cardoso;1710;QUE SE DANE O MUNDO;E que se dane o mundo e que se dane;19B;;
Adalberto E Adriano;3726;SEPARAÇÃO;Qual terá sido o motivo da nossa;2C;;
Adele;2569;ROLLING IN THE DEEP;There's a fire starting in my heart;INT04B;;
Adele;2600;SOMEONE LIKE YOU;I've made up my mind;INT04C;;
Adele;2603;CHASING PAVEMENTS;I heard that you're settled down;INT04C;;
Adele;2627;SET FIRE TO THE RAIN;I let it fall my heart and as I fell;INT04D;;
Adele;19068;SKYFALL;This is the end hold your breath and count;INT05B;;
Adele;19362;HELLO;Hello it's me;INT07B;;
Adele;19404;WHEN WE WERE YOUNG;Everybody loves the things you do;INT07C;;
Adele;19493;SEND MY LOVE (TO YOUR NEW LOVER);This was all you none of it me put your hands all;INT08A;;
Adele;19534;ONE AND ONLY;You've been on my mind;INT08B;;
Adele;19678;WATER UNDER THE BRIDGE;If you're not the one for me;INT09A;;
Adele;19741;MAKE YOU FEEL MY LOVE;When the rain is blowing in your face;INT09C;;
Adhemar de Campos (Comunidade da Graça);2986;NOSSO GENERAL;Pelo Senhor marchamos sim o Seu;EVAN04D;;
Adílson Ramos;6982;SONHAR CONTIGO;Sonhar contigo por toda vida…;8A;;
Adoniran Barbosa;7062;AS MARIPOSAS;As mariposa quando chega o frio;9A;;
Adoração e Adoradores;7782;FAZ CHOVER;Assim como a corsa anseia por águas;EVC;;
Adoração e Adoradores;7887;VIM PARA ADORAR-TE;Luz do mundo vieste à terra;EVD;;
Adrian Gurvitz;19726;CLASSIC;Got to write a classic;INT09C;;
Adriana;9466;I LOVE YOU BABY;Difícil é viver sem teu amor;13B;;
Adriana Calcanhoto;7648;NAQUELA ESTAÇÃO;Você entrou no trem;11B;;
Adriana Calcanhoto;7668;PELOS ARES;Não lhe peço nada;11B;;
Adriana Calcanhoto;7661;OUTRA VEZ;Outra vez sem você outra vez sem amor;11E;;
Adriana Calcanhoto;9450;ESQUADROS;Eu ando pelo mundo prestando atenção;13A;;
Adriana Calcanhoto;9846;MULHER SEM RAZÃO;Saia dessa vida de migalhas;14B;;
Adriana Calcanhoto;1119;SEU PENSAMENTO;A uma hora dessas;15B;;
Adriana Calcanhoto;1297;MARESIA;Meu amor me deixou levou minha identi;16D;;
Adriana Calcanhoto;1581;CANÇÃO DE NOVELA;Toalha molhada;18C;;
Adriana Calcanhoto;2798;METADE;Eu perco o chão;22A;;
Adriana Calcanhoto;4138;VAMBORA;Entre por essa porta agora;3E;;
Adriana Calcanhoto;4160;MAIS FELIZ;O nosso amor não vai parar;3F;;
Adriana Calcanhoto;4161;MENTIRAS;Nada ficou no lugar;3F;;
Adriana Calcanhoto;6126;DEVOLVA-ME;Rasgue as minhas cartas...;5B;;
Adriana Calcanhoto;6573;JUSTO AGORA;Eu ouvi dizer que você assim…;6E;;
Adriana Calcanhoto;6822;FICO ASSIM SEM VOCÊ;Avião sem asa fogueira sem brasa;7E;;
Adriana Marques;2408;AMOR PERFEITO;O vento sopra e leva a solidão e uma;EVAN04A;;
Adryana E A Rapaziada;4458;SÓ FALTAVA VOCÊ;Só faltava você...;4E;;
Adryana E A Rapaziada;6035;TUDO PASSA;Tudo na vida passa tudo na vida...;4G;;
Adryana E A Rapaziada;6121;AMOR PRA VALER;Já faz tanto tempo não consigo...;5B;;
Adryana E A Rapaziada;6257;FIM DE NOITE;Você nunca vai me ver sofrer…;5E;;
Adryana E A Rapaziada;6294;EU TE AMO (AND I LOVE HER);Foi tanto que eu te amei e não sabia…;5F;;
Adryana Ribeiro;1490;SAUDADE VEM;O que é que você foi fazer comigo;18A;;
Adryana Ribeiro;3789;E AGORA ?;E agora como é que eu vou ficar;2E;;
Aerosmith;4909;I DON'T WANT TO MISS A THING;I could stay awake just to hear you brea...;INT01, USA2A;;
Aerosmith;4879;CRAZY;Come here baby...;INT01, USA2B;;
Aerosmith;19165;CRYIN';There was a time when I was so brokenhearted;INT06A;;
Aerosmith;19172;DREAM ON;Every time that I look in the mirror;INT06A;;
