SName,Lyric,Artist,Songs,Popularity,Genre,Genres
Escreve Aí,"Te falo tanta coisa. Enquanto tento segurar a lágrima. Que insiste em cair. Entro no meu carro. Abro o vidro. E antes de ir embora eu te digo. ""Olha aqui, ainda vou te esquecer... escreve aí"". Chego em casa. E dou de cara com sua foto. Uma ducha e um vinho pra acalmar. E eu penso ""vou partir pra outra logo"". Mas quem é que eu tô tentando enganar?. Mas quem é que eu tô tentando enganar?. É só você fazer assim. Que eu volto. É só você fazer assim. Que eu volto. Que eu volto. É que eu te amo. E falo na sua cara. Se tirar você de mim. Não sobra nada. O teu sorriso me desmonta inteiro. Até num simples estalar de dedos. Talvez você tenha deixado eu ir. Pra ter o gosto de me ver aqui. Fraco demais para continuar. Juntando forças pra poder falar. Que eu volto é só. Você sorrir. Que eu volto é só. Fazer assim. Que eu volto. Que eu volto. Que eu volto. Chego em casa. E dou de cara com sua foto. Uma ducha e um vinho pra acalmar. E eu penso ""vou partir pra outra logo"". Mas quem é que eu tô tentando enganar?. Mas quem é que eu tô tentando enganar?. É só você fazer assim. Que eu volto. É só você fazer assim. Que eu volto. Que eu volto. É que eu te amo. E falo na sua cara. Se tirar você de mim. Não sobra nada. O teu sorriso me desmonta inteiro. Até num simples estalar de dedos. Talvez você tenha deixado eu ir. Pra ter o gosto de me ver aqui. Fraco demais para continuar. Juntando forças pra poder falar. Que eu volto é só. Você sorrir. Que eu volto é só. Fazer assim. Que eu volto é só. Fazer assim. Que eu volto. Que eu volto. Que eu volto",Luan Santana,187,17.2,Sertanejo,Romântico; Sertanejo; Pop; Country; Funk Carioca; Black Music; Axé; Electro Swing; House; Funk; Instrumental; Gospel/Religioso; Forró; Electronica; Reggae; Dance; Hip Hop; Pagode; Trilha Sonora; Tecnopop; Bossa Nova; Samba Enredo; Hard Rock; Clássico; Blues; Jazz; Velha Guarda; Rock; Chillout; R&B; World Music; Heavy Metal; Disco; Emocore; Pop/Rock; Infantil; Gótico; Tropical House; Classic Rock; Kizomba; Fado; Músicas Gaúchas; Grunge; Reggaeton; Rap; Trance; MPB; Power-Pop; Punk Rock; Folk; Indie; J-Pop/J-Rock; Samba; Jovem Guarda
Sente o grave,"Sente o grave. Bota pressão no doze, que ela enlouquece. Vai mexendo, e chamando as gatas pro esquenta. Que hoje o trem vai ficar bom. Sente o grave. Que a festa ta bombando, e não tem hora pra acabar. Quanto mais ela vira, mais ela se empolga. Não para de dançar. Refrão. Bum bum bum bum. No paredão faz bum, ela balança o bumbum (2). Repete tudo",Bruno e Barretto,63,2.1,Sertanejo,Sertanejo; Funk Carioca; Electro Swing; Country; Forró; House; Samba; Pop; Axé
Cavalgada,Vou cavalgar por toda a noite. Por uma estrada colorida. Usar meus beijos como açoite. E a minha mão mais atrevida. Vou me agarrar aos seus cabelos. Pra não cair do seu galope. Vou atender aos seus apelos. Antes que o dia nos sufoque. Vou me perder de madrugada. Pra te encontrar no meu abraço. Depois de toda cavalgada. Vou me deitar no seu cansaço. Sem me importar se nesse instante. Sou dominado ou se domino. Vou me sentir como um gigante. Ou nada mais do que um menino. Estrelas mudam de lugar. Chegam mais perto só pra ver. E ainda brilham de manhã. Depois do nosso adormecer. E na grandeza desse instante. O amor cavalga sem saber. E na beleza dessa hora. O sol espera pra nascer. Estrelas mudam de lugar. Chegam mais perto só pra ver. E ainda brilham de manhã. Depois do nosso adormecer. E na grandeza desse instante. O amor cavalga sem saber. E na beleza dessa hora. O sol espera pra nascer,Bruno e Marrone,356,23.5,Sertanejo,Romântico; Sertanejo; Forró; Country; Axé; Funk Carioca; Black Music; Dance; Funk; Instrumental; Gospel/Religioso; MPB; Músicas Gaúchas; Trilha Sonora; Bossa Nova; Disco; Pagode; Jovem Guarda; Electronica; Pop; Rock; Kizomba; Regional; Reggae; Samba; Tecnopop; Rock Alternativo; Gótico; Soul Music; World Music; Pop/Rock; Grunge; J-Pop/J-Rock; Velha Guarda; Rap
Mundo Sem Flores,Mais que mundo será esse. que a justiça pouco pune. um veneno forte desse. só Deus quem nos faz imune. Bandido arrasta inocente. pelas ruas da cidade. a mãe assistindo sente. o punhal da crueldade. Infelizmente a justiça. tem sua fragilidade. em pouco tempo veremos. o assassino em liberdade. refrão. Ó meu Deus esse mundo é um jardim sem ter flores. e o que resta é os espinhos que nos causam dores. O indivíduo enciumado. seqüestra a namorada. no apartamento trancado. não negocia por nada. até que o pior da história. acontece de repente. a moça morre na hora. policia prende o demente. mais vem um advogado. que nenhum remorso sente. e defende a liberdade. para esse inconseqüente. >> refrão <<. A criança inocente. da janela foi jogada. já não sabemos quem mente. e as provas não provam nada. o outro fato mesquinho. em Brasilia aconteceu. os filhos de papaizinho. sem ter o temor de Deus. incendiaram o índio. bricando e fazendo graça. infelizmente alguns deles. já estão solto pela praça. >> refrão <<. A verdade é escondida. e a mentira divulgada. a honra está ferida. e a paz está abalada. crianças são abusadas. e os velhinhos espancados. as lojas são saqueadas. e os clientes umilhados. nos estamos esperando. pelos nossos magestrados. tem que ter punho de ferro. para mudar esse quadro. >> refrão <<,Daniel e Samuel,247,3.2,Sertanejo,Sertanejo; Gospel/Religioso; Romântico; Instrumental; Disco; Country; Clássico; Forró; Axé; Jazz; Infantil; Funk; Chillout; Funk Carioca; Reggae; Pop/Rock; Dance; MPB; Hardcore; Trilha Sonora; Bossa Nova; Black Music; Hip Hop
Vem Brincar de Amar,"Hoje eu vou sair, vou me divertir, quero namorar. Encontrar alguém, que queira também, pra comemorar. Essa vida boa que faz a gente aprender viver. Chega de chorar por quem não me quer, chega de sofrer. Fui amar alguém, que não me fez bem, só me maltratou. Fui dormir na praça, que coisa sem graça, quase me matou. Mas já estou bem, quero um novo alguém, quero um novo amor. Hoje eu vou sair pra me divertir, pra espantar a dor. Oh oh oh, traz uma cerveja, põe na minha mesa. Que eu vou esperar. Oh oh oh, que eu tô te filmando, sei que está me olhando. Vem brincar de amar. Vem pra cá, chega aqui, pega aqui na minha mão. Faz um dengo que eu acendo o fogo do seu coração. Vem pra cá, chega aqui, pega aqui na minha mão. Que eu te dou o meu desejo e a chave do meu coração. Fui amar alguém..............",Guilherme e Santiago,237,3.0,Sertanejo,Sertanejo; Romântico; Pop/Rock; Pop
Menos Drama e Mais Balada,"Para de chorar por nada. Menos drama e mais balada. Se perdeu a namorada. Menos drama e mais balada. Escuta aí. Olha o conselho que eu vou te dar. Essa pessoa ai só quer te complicar. Quer te deixar no vermelho, te dar prejuízo. Se liga aí. Ela tá se aproveitando da situação. Pensa com a cabeça e não com o coração. Coloca ela no lugar dela. Desencana e vem pra cá. Mais atitude pra fechar. Para de chorar por nada. Menos drama e mais balada. Se perdeu a namorada. Menos drama e mais balada. Para de chorar por nada. Menos drama e mais balada. Se perdeu a namorada. Menos drama e mais balada. Escuta aí. Olha o conselho que eu vou te dar. Essa pessoa ai só quer te complicar. Quer te deixar no vermelho, te dar prejuízo. Se liga aí. Ela tá se aproveitando da situação. Pensa com a cabeça e não com o coração. Coloca ela no lugar dela. Desencana e vem pra cá. Mais atitude pra fechar. Para de chorar por nada. Menos drama e mais balada. Se perdeu a namorada. Menos drama e mais balada. Para de chorar por nada. Menos drama e mais balada. Se perdeu a namorada. Menos drama e mais balada",Humberto e Ronaldo,145,3.3,Sertanejo,Romântico; Sertanejo; House; Funk Carioca; Trilha Sonora; Electro Swing; Axé; Black Music; Funk; Pop; Forró; Tropical House; Electronica; Country
Marcas de Um Amor,Nunca mais ouvi sua voz em meus ouvidos. Mas não sai da minha mente seus gemidos. Nunca mais senti seu carinho e seu calor. Mas ficou no peito as marcas deste amor. Por mais longe que estiver mais perto estarás do fim. E a saudade te fará voltar pra mim. Pode amor voar sumir no infinito. Que não encontrará amor maior e mais bonito. Você se acostumou com o sol do meu carinho. Jamais encontrará em outros ninhos.,João Paulo e Daniel,119,2.0,Sertanejo,Sertanejo; Romântico; Country; Trilha Sonora; Clássico; Funk; Classic Rock; Regional; Folk; Funk Carioca; Gospel/Religioso; Axé
Saco de Ouro,"Num saco de estopa, com embira amarrado. Eu trago guardado, a minha paixao. Uma bota velha, um chapeu cor de ouro. Bainha de couro e um velho facão,. Tenho um par de espora, um arreio e um laço. Um punhal de aço, rabo de tatú. Tenho uma guaiaca, ainda perfeita. Caprichada e feita so de couro crú.. Do lampião quebrado,. So resta o pavio,. Pra lembrar o frio, eu também guardei. Um pelego branco que perdeu o pelo,. Apesar do zelo com que eu guardei,. Também o caximbo, do cano do longo,. Quantos pernilongos com ele espantei. Um estribo esquerdo, que guardo com jeito,. Porque o direito na cerca quebrei.. A nota fiscal ja toda amarela. Da primeira sela que eu mesmo comprei,. La em soledade, na casa da cinta. Duzentos e trinta na hora paguei. Também o recibo, ja todo amassado. Primeiro ordenado que eu faturei,. E a minha traia num saco amarrado,. Num canto encostada, que eu sempre guardei.. Pra mim representa um belo passado. Da Lida de gado que eu sempre gostei.. Assim enfrentei um trabalho duro.. Eu fiz o futuro sem violar a lei,. O saco é Reliquia, com meus apetrechos. nao vendo e não deixo ninguem por a mão. Nos trancos da vida, segurei o taco. E o ouro do Saco, e a recordação...",Lourenço & Lourival,360,1.0,Sertanejo,Sertanejo
Céu de Setembro,"Quanta poeira vermelha dos olhos tirei. Quantas lembranças no peito de alguém que eu amei. Sonhos e desilusões do amor que eu perdi. Dizem que saudade mata mas eu não morri. No céu de setembro. Escrevi minha vida nos olhos teus. Conheci a paixão que me envolveu. Me seduziu, me enlouqueceu. No céu de setembro. Esse amor fez de mim uma cicatriz. Conheci a maneira de ser feliz. Foi tudo que eu sempre quis. Quis o cruel destino levar embora. A primavera e jogar fora. Aquele sonho de amor perfeito. Quis o cruel destino que eu chorasse. Que eu pedisse, que eu implorasse. Pra te ouvir dizer, não tem mais jeito",Rick & Renner,343,5.0,Sertanejo,Sertanejo
Eu Queria Te Amar,"Eu não posso acreditar. Que tudo acabou. Que um sonho tão bonito. Chegou ao fim. Só pensando eu seu amor. Quase fico louco. Será que o tempo fez você. Esquecer de mim. Como vai a sua vida. Gostaria de saber. Pois a minha está perdida. Foi embora com você. Eu queria te encontrar. Te tocar, te abraçar. Eu queria te amar",Rionegro & Solimões,252,3.0,Sertanejo,Sertanejo
